ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
110000,자산총계,59604.93716,75330.16106340001,71830.9116258,59804.086482900006,59116.265119200005
112830,유동자산,1928.53895,14614.251764600001,6209.951348500001,15776.837155700001,13562.616641700002
112840,재고자산,1191.7734,1642.1997965000003,2099.867166,3023.6071534,4524.6992742
190430,상품,NaN,NaN,NaN,NaN,NaN
190440,제품,802.4059000000001,939.6630000000001,952.8347400000001,779.9114500000001,1219.42658
190450,완성건물,NaN,NaN,NaN,NaN,NaN
190460,원재료,153.28189,356.30578,451.96129,834.8385700000001,1116.30168
190470,용지,NaN,NaN,NaN,NaN,NaN
190480,재공품,27.631310000000003,3.47006,221.21869,771.69302,1358.0168700000002
190490,"미완성건물,공사",NaN,NaN,NaN,NaN,NaN
190500,반제품,NaN,NaN,NaN,NaN,NaN
190510,미착품,NaN,NaN,NaN,NaN,NaN
190520,저장품(소모품),208.45430000000002,342.76096,473.85245000000003,637.16411,830.95414
190525,반환(반품)재고자산,NaN,NaN,NaN,NaN,NaN
190530,기타재고자산,NaN,NaN,NaN,NaN,NaN
133020,유동생물자산,NaN,NaN,NaN,NaN,NaN
114490,당기손익-공정가치측정금융자산,NaN,NaN,NaN,5400.805169,2100.4029330000003
114520,기타포괄손익-공정가치측정금융자산,NaN,NaN,NaN,NaN,NaN
114530,상각후원가측정유가증권,NaN,NaN,NaN,NaN,NaN
114540,상각후원가측정금융자산,NaN,NaN,NaN,NaN,NaN
113090,단기금융자산,NaN,9862.893,226.05,5708.796094500001,3547.8201107000004
113100,단기매매금융자산,NaN,NaN,NaN,NaN,NaN
113110,당기손익인식(지정)금융자산,NaN,NaN,NaN,NaN,NaN
113120,단기금융상품,NaN,9700.0,NaN,5500.0,3200.0000000000005
190540,단기대여금,NaN,NaN,NaN,6.000000000000001,NaN
113240,단기매도가능금융자산,NaN,NaN,NaN,NaN,NaN
113250,단기만기보유금융자산,NaN,NaN,NaN,NaN,NaN
113260,단기파생상품자산,NaN,NaN,NaN,NaN,NaN
190550,금융리스채권,NaN,NaN,NaN,NaN,NaN
190555,기타단기금융자산,NaN,NaN,226.05,202.79609000000002,347.82011000000006
113350,매출채권및기타채권,370.09243000000004,756.3082023000001,258.17150000000004,1217.3334997000002,1871.1811543000001
190560,매출채권,349.58506000000006,664.6178900000001,185.18786000000003,1125.5587,1811.2311100000002
190570,미수금등,19.77821,60.222570000000005,64.61671000000001,52.814980000000006,20.574450000000002
190580,단기대출채권,NaN,NaN,NaN,NaN,NaN
190600,미수수익,0.72916,31.467740000000003,8.36693,38.95982,39.37559
190630,단기보증금,NaN,NaN,NaN,NaN,NaN
190590,기타단기채권,NaN,NaN,NaN,NaN,NaN
113650,당기법인세자산(선급법인세),0.63136,NaN,0.17076000000000002,NaN,NaN
190595,계약자산,NaN,NaN,NaN,194.99176310000001,208.12351180000002
114760,반품(환불)자산,NaN,NaN,NaN,NaN,NaN
114770,배출권,NaN,NaN,NaN,NaN,NaN
113660,기타유동자산,20.94113,49.4747597,44.81101,55.0844268,59.3831259
190610,선급금등,0.16534000000000001,0.23189,1.4025100000000001,NaN,0.1839
113760,선급제세,NaN,1.4951100000000002,NaN,NaN,NaN
190620,선급비용,20.77579,47.74776000000001,43.408500000000004,55.084430000000005,59.19923000000001
190640,기타,NaN,NaN,NaN,NaN,NaN
190650,현금및현금성자산,345.10062000000005,2303.3760062,3580.8809142000005,176.21904940000002,1251.0065318000002
113920,매각예정비유동자산및처분자산,NaN,NaN,NaN,NaN,NaN
113930,비유동자산,NaN,NaN,NaN,NaN,NaN
114240,유동자산,NaN,NaN,NaN,NaN,NaN
114340,기타,NaN,NaN,NaN,NaN,NaN
110010,비유동자산,57676.39822,60715.909298800005,65620.96027730001,44027.24932720001,45553.648477500006
110020,유형자산,8902.561370000001,10909.5976597,15133.326176700002,17177.2098786,17027.925241
190010,토지,NaN,NaN,NaN,NaN,NaN
190020,설비자산,4798.25133,8467.34336,11935.125230000001,16377.888340000001,16473.432770000003
190030,건물및부속설비,2707.3394500000004,2779.78463,5893.984240000001,7256.23501,7189.933730000001
190040,구축물,14.90651,72.00057000000001,72.64598000000001,70.71307,91.87043000000001
190050,기계장치,2075.2724500000004,5614.50254,5963.626850000001,9047.169940000002,9188.99558
190060,중장비,NaN,NaN,NaN,NaN,NaN
190070,시설장치,NaN,NaN,NaN,NaN,NaN
190075,제설비,NaN,NaN,NaN,NaN,NaN
190080,미착자산,NaN,NaN,NaN,NaN,NaN
190090,차량운반구,0.73292,1.05562,4.8681600000000005,3.7703200000000003,2.63303
190100,선박,NaN,NaN,NaN,NaN,NaN
190110,항공기,NaN,NaN,NaN,NaN,NaN
190120,공구기구비품,NaN,NaN,NaN,NaN,NaN
190130,리스자산,NaN,NaN,NaN,NaN,NaN
190140,리스개량자산,NaN,NaN,NaN,NaN,NaN
191010,임대(주택)자산,NaN,NaN,NaN,NaN,NaN
191020,임차개량자산,NaN,NaN,NaN,NaN,NaN
190150,건설중인자산,3915.8179900000005,2327.0546000000004,3088.4456200000004,571.1577400000001,367.14553
190160,기타유형자산,188.49205,115.1997,109.75533000000001,228.1638,187.34694000000002
