ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
400000,영업활동으로인한현금흐름,-2655.13752,-626.6129803000001,1498.163276,-330.1732733,101.53614980000002
400010,당기순이익,19049.459170000002,-1768.2340953000003,-969.7211581000001,2241.0919487,2029.0409909000002
400020,법인세비용차감전계속사업이익,NaN,NaN,NaN,NaN,NaN
400030,현금유출이없는비용등가산,24830.39771,2729.9959697000004,2728.1951626,3498.0655400000005,1886.2330000000002
400040,금융비용,NaN,NaN,NaN,NaN,NaN
400050,이자비용,26.504700000000003,192.5437257,56.8398318,158.3858904,256.1472178
400100,배당금지급,NaN,NaN,NaN,NaN,NaN
400110,대손상각비,NaN,NaN,NaN,NaN,NaN
400120,기타대손상각비,NaN,NaN,NaN,NaN,NaN
400130,퇴직급여,58.94646,63.77009610000001,76.37598530000001,100.7088379,147.1043376
400140,유형자산감가상각비,326.94637,557.8442612,641.8847981000001,855.2236172,1265.9301785
400150,개발비상각,NaN,NaN,NaN,NaN,NaN
400160,기타무형자산상각비,89.33636000000001,43.65462860000001,57.3774713,59.28193280000001,62.9208471
400170,충당부채전입액,NaN,NaN,NaN,NaN,NaN
400180,외환거래손실,91.88935000000001,39.62748740000001,3.3125887,32.919130800000005,74.36126540000001
400190,외환차손,NaN,NaN,NaN,NaN,NaN
400200,외화환산손실,91.88935000000001,39.62748740000001,3.3125887,32.919130800000005,74.36126540000001
400210,기타외환거래손실,NaN,NaN,NaN,NaN,NaN
400220,주식보상비,NaN,NaN,NaN,NaN,NaN
400230,재고자산폐기(처분)손실,1.4198300000000001,NaN,NaN,NaN,NaN
400240,매출채권처분손실,NaN,NaN,NaN,NaN,NaN
404740,당기손익-공정가치측정금융자산관련손실,NaN,NaN,NaN,NaN,NaN
400250,금융자산처분손실,NaN,NaN,NaN,NaN,NaN
404750,당기손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
404760,기타포괄손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
404770,상각후원가측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
493400,단기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
493500,장기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
400310,기타금융자산처분손실,NaN,NaN,NaN,NaN,NaN
400320,자산처분(폐기)손실,5.839860000000001,0.0103333,0.44546160000000007,6.1450907,8.0672821
400370,재고자산감모손실,NaN,NaN,NaN,NaN,NaN
400380,금융자산평가손실,NaN,NaN,NaN,NaN,NaN
493600,단기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
493700,장기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
400440,기타금융자산평가손실,NaN,NaN,NaN,NaN,NaN
400450,투자자산평가손실,NaN,NaN,NaN,NaN,NaN
400460,자산재평가손실,NaN,NaN,NaN,NaN,NaN
400470,금융자산손상차손,NaN,NaN,NaN,NaN,NaN
400510,자산손상차손,NaN,NaN,NaN,186.51817000000003,65.7498257
400600,파생상품손실,18204.3905,540.3189375000001,590.914837,1.9033007000000002,NaN
400640,지분법관련손실,193.95735000000002,1292.2264999000001,1296.0233843,1293.3733279000003,NaN
400700,종속기업관련손실,NaN,NaN,NaN,NaN,NaN
400710,관계기업관련손실(관계기업의당기순이익에대한지분감소),NaN,NaN,NaN,NaN,NaN
400750,법인세비용,5831.16694,NaN,NaN,788.6664238,NaN
400770,비지배주주지분순손실,NaN,NaN,NaN,NaN,NaN
490100,기타,NaN,NaN,5.020804500000001,14.939816200000003,5.952027
400790,현금유입이없는수익등차감,45514.224780000004,618.2986491,413.54407810000004,4013.5141300000005,1416.6299600000002
400800,금융수익,NaN,NaN,NaN,NaN,NaN
