ACCODE,ACC_NM,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01
200000,매출액(수익),912.78029,2946.2202077,4646.2933414,5358.0580107000005,7015.918597600001
200010,내수,NaN,2946.2200000000003,NaN,NaN,7015.920000000001
200020,수출,NaN,NaN,NaN,NaN,NaN
200040,제품매출액,400.13975000000005,2408.2044300000002,3753.2435400000004,5282.2749300000005,6483.74697
200070,상품매출액,NaN,NaN,NaN,NaN,NaN
200100,"재화의판매로인한수익(상품,제품매출액)",NaN,NaN,NaN,NaN,NaN
200130,건설계약으로인한수익(공사수익),NaN,NaN,NaN,NaN,NaN
200160,분양수익,NaN,NaN,NaN,NaN,NaN
200170,용역의제공으로인한수익(매출액),NaN,NaN,NaN,NaN,NaN
200220,지분법이익,NaN,NaN,NaN,NaN,NaN
200230,금융수익,NaN,NaN,NaN,NaN,NaN
200240,배당수익,NaN,NaN,NaN,NaN,NaN
200250,이자수익,NaN,NaN,NaN,NaN,NaN
290100,기타수익,512.64054,538.0157800000001,893.0498000000001,75.78308000000001,532.17163
200360,매출원가,1147.84617,2680.8835764,3328.2927319,3906.4585941000005,5095.8442511
200380,제품매출원가,462.05836000000005,1994.2096500000002,2385.3075900000003,3463.81759,3717.9691700000003
200460,상품매출원가,NaN,NaN,NaN,NaN,NaN
200550,상품·제품매출원가,NaN,NaN,NaN,NaN,NaN
200630,건설계약원가,NaN,NaN,NaN,NaN,NaN
200640,분양원가,NaN,NaN,NaN,NaN,NaN
200650,용역원가,NaN,NaN,NaN,NaN,NaN
200700,지분법손실,NaN,NaN,NaN,NaN,NaN
200710,금융비용,NaN,NaN,NaN,NaN,NaN
200720,이자비용,NaN,NaN,NaN,NaN,NaN
290200,기타,685.78781,686.67393,942.9851400000001,442.641,1377.87508
200810,매출총이익,-235.06588000000002,265.3366313,1318.0006095,1451.5994166,1920.0743464
200820,판매비와관리비,1801.3585600000001,569.5630171,658.2065854,894.8119714000001,1002.6504744
200830,급여,467.66073000000006,161.26350000000002,200.74052,228.53308,242.68001
200840,퇴직급여,30.499720000000003,10.874550000000001,12.67966,16.616570000000003,20.604640000000003
200850,명예퇴직금,NaN,NaN,NaN,NaN,NaN
200860,복리후생비,99.82951000000001,43.22572,58.49421,56.55411,61.895050000000005
200870,주식보상비,NaN,NaN,NaN,NaN,NaN
200880,교육훈련비,61.66715000000001,54.981930000000006,52.282740000000004,57.95721,66.66629
200920,수도광열비,6.1250100000000005,2.07601,2.13688,2.21958,2.2728
200930,세금과공과,45.553430000000006,12.000860000000001,9.97366,15.647950000000002,16.59938
200950,임차료,29.604540000000004,2.35209,NaN,NaN,NaN
201010,보험료,NaN,NaN,28.775360000000003,36.36748,35.742920000000005
201050,지급수수료,666.7283000000001,119.01152,115.14320000000001,205.41340000000002,283.00374000000005
201080,감가상각비,115.76657000000002,42.46229,64.86402000000001,117.91680000000001,57.12650000000001
201090,개발비상각,NaN,NaN,NaN,NaN,NaN
201100,기타무형자산상각비,40.368520000000004,18.296660000000003,30.087100000000003,28.237040000000004,35.39125
201130,연구개발비,NaN,NaN,NaN,NaN,NaN
201140,특허권등사용료,NaN,NaN,NaN,NaN,NaN
290500,기타관리비,157.71754,41.611180000000004,33.05098,44.45374,55.920880000000004
201160,광고선전비,NaN,NaN,17.902720000000002,44.22807,64.80625
201200,수출비용,NaN,NaN,NaN,NaN,NaN
201210,판매촉진비,NaN,NaN,NaN,NaN,NaN
201220,판매수수료,NaN,NaN,NaN,NaN,NaN
201280,기타물류원가,NaN,NaN,NaN,NaN,NaN
201290,애프터서비스비,NaN,NaN,NaN,NaN,NaN
201300,대손상각비,NaN,NaN,NaN,NaN,NaN
290700,기타판매비,NaN,NaN,NaN,NaN,NaN
290750,기타원가성비용,NaN,NaN,NaN,NaN,NaN
201360,기타,79.83754,61.406710000000004,32.075540000000004,40.666940000000004,59.940760000000004
293800,인건비및복리후생비,597.98996,215.36377000000002,271.91439,301.70376000000005,325.1797
293900,일반관리비,1123.53106,292.79254000000003,336.31394,508.21320000000003,552.7237600000001
294000,판매비,NaN,NaN,17.902720000000002,44.22807,64.80625
201370,영업이익,-2036.4244400000002,-304.2263858,659.7940241,556.7874452000001,917.4238720000001
203580,기타영업손익,NaN,NaN,NaN,NaN,NaN
203590,기타영업수익,NaN,NaN,NaN,NaN,NaN
203600,이자수익,NaN,NaN,NaN,NaN,NaN
203610,배당금수익,NaN,NaN,NaN,NaN,NaN
203620,외환거래이익,NaN,NaN,NaN,NaN,NaN
203630,외환차익,NaN,NaN,NaN,NaN,NaN
203640,외화환산이익,NaN,NaN,NaN,NaN,NaN
203650,기타외화거래이익,NaN,NaN,NaN,NaN,NaN
203670,임대료,NaN,NaN,NaN,NaN,NaN
203700,대손충당금환입,NaN,NaN,NaN,NaN,NaN
203720,자산처분이익,NaN,NaN,NaN,NaN,NaN
203730,투자부동산처분이익,NaN,NaN,NaN,NaN,NaN
203740,투자자산처분이익,NaN,NaN,NaN,NaN,NaN
203750,"유형,리스자산처분이익",NaN,NaN,NaN,NaN,NaN
292400,기타,NaN,NaN,NaN,NaN,NaN
203800,자산평가이익,NaN,NaN,NaN,NaN,NaN
203810,자산재평가이익,NaN,NaN,NaN,NaN,NaN
203820,파생상품이익,NaN,NaN,NaN,NaN,NaN
203860,자산손상차손환입,NaN,NaN,NaN,NaN,NaN
204550,지분법관련이익,NaN,NaN,NaN,NaN,NaN
292500,기타,NaN,NaN,NaN,NaN,NaN
204030,기타영업비용,NaN,NaN,NaN,NaN,NaN
204040,이자비용,NaN,NaN,NaN,NaN,NaN
204050,외환거래손실,NaN,NaN,NaN,NaN,NaN
204060,외환차손,NaN,NaN,NaN,NaN,NaN
204070,외화환산손실,NaN,NaN,NaN,NaN,NaN
204080,기타외환거래손실,NaN,NaN,NaN,NaN,NaN
204090,기타대손상각비,NaN,NaN,NaN,NaN,NaN
204100,충당부채전입액,NaN,NaN,NaN,NaN,NaN
204160,자산처분손실,NaN,NaN,NaN,NaN,NaN
204170,투자부동산처분손실,NaN,NaN,NaN,NaN,NaN
204180,투자자산처분손실,NaN,NaN,NaN,NaN,NaN
204190,"유형,리스자산처분손실",NaN,NaN,NaN,NaN,NaN
292700,기타,NaN,NaN,NaN,NaN,NaN
204240,자산평가손실,NaN,NaN,NaN,NaN,NaN
204250,자산재평가손실,NaN,NaN,NaN,NaN,NaN
204260,파생상품손실,NaN,NaN,NaN,NaN,NaN
204300,자산손상차손,NaN,NaN,NaN,NaN,NaN
204560,지분법관련손실,NaN,NaN,NaN,NaN,NaN
292800,기타,NaN,NaN,NaN,NaN,NaN
204490,영업이익(발표기준),NaN,NaN,659.7940241,556.7874453000001,917.4238720000001
204750,구K-IFRS영업이익,NaN,NaN,NaN,NaN,NaN
202210,금융수익,68.44724000000001,143.485671,232.19774850000005,193.20789460000003,275.4074355
202220,이자수익,11.823110000000002,36.3965,99.49872,96.51186000000001,172.46464
202230,배당금수익,NaN,NaN,NaN,NaN,NaN
202240,외환거래이익,56.62413000000001,107.08917000000001,132.69903000000002,92.87159000000001,86.93741000000001
202250,외환차익,51.074850000000005,78.83685000000001,97.57456,91.74513,85.50315
202260,외화환산이익,5.54928,28.25232,35.12447,1.12646,1.43426
202270,기타외화거래이익,NaN,NaN,NaN,NaN,NaN
202280,대손충당금환입액,NaN,NaN,NaN,NaN,NaN
205180,당기손익-공정가치측정금융자산관련이익,NaN,NaN,NaN,NaN,NaN
202290,금융자산처분이익,NaN,NaN,NaN,3.01927,3.61459
205190,당기손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,3.01927,3.61459
205210,기타포괄손익-공정가치측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
205220,상각후원가측정금융자산처분이익,NaN,NaN,NaN,NaN,NaN
293000,단기금융자산처분이익,NaN,NaN,NaN,NaN,NaN
293100,장기금융자산처분이익,NaN,NaN,NaN,NaN,NaN
202350,기타금융자산처분이익,NaN,NaN,NaN,NaN,NaN
202370,금융자산평가이익,NaN,NaN,NaN,0.80517,0.45759000000000005
205230,당기손익-공정가치측정금융자산평가이익,NaN,NaN,NaN,0.80517,0.45759000000000005
293200,단기금융자산평가이익,NaN,NaN,NaN,NaN,NaN
293300,장기금융자산평가이익,NaN,NaN,NaN,NaN,NaN
202430,기타금융자산평가이익,NaN,NaN,NaN,NaN,NaN
202440,파생상품이익,NaN,NaN,NaN,NaN,11.93321
202480,금융자산손상차손환입,NaN,NaN,NaN,NaN,NaN
204570,"종속기업,공동지배기업및관계기업(지분법)관련이익",NaN,NaN,NaN,NaN,NaN
291400,기타,NaN,NaN,NaN,NaN,NaN
202550,금융원가,18411.96798,867.8308114000001,763.4533198000001,243.37216590000003,386.82642610000005
202560,이자비용,26.504700000000003,192.54372,56.839830000000006,158.38589000000002,256.14722
202570,외환거래손실,181.07278000000002,134.96815,115.69865000000001,83.08298,130.67921
202580,외환차손,89.18343,95.34066000000001,112.38606000000001,50.163850000000004,56.31794000000001
202590,외화환산손실,91.88935000000001,39.62749,3.31259,32.91913,74.36127
202600,기타외환거래손실,NaN,NaN,NaN,NaN,NaN
202610,대손상각비,NaN,NaN,NaN,NaN,NaN
205260,당기손익-공정가치측정금융자산관련손실,NaN,NaN,NaN,NaN,NaN
202620,금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205270,당기손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205280,기타포괄손익-공정가치측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
205290,상각후원가측정금융자산처분손실,NaN,NaN,NaN,NaN,NaN
293400,단기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
293500,장기금융자산처분손실,NaN,NaN,NaN,NaN,NaN
202680,기타금융자산처분손실,NaN,NaN,NaN,NaN,NaN
202700,금융자산평가손실,NaN,NaN,NaN,NaN,NaN
205310,당기손익-공정가치측정금융자산평가손실,NaN,NaN,NaN,NaN,NaN
293600,단기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
293700,장기금융자산평가손실,NaN,NaN,NaN,NaN,NaN
202760,기타금융자산평가손실,NaN,NaN,NaN,NaN,NaN
202770,파생상품손실,18204.3905,540.31894,590.91484,1.9033000000000002,NaN
202810,금융자산손상차손,NaN,NaN,NaN,NaN,NaN
204580,"종속기업,공동지배기업및관계기업(지분법)관련손실",NaN,NaN,NaN,NaN,NaN
291600,기타,NaN,NaN,NaN,NaN,NaN
204410,기타영업외손익,18.423280000000002,11.788194500000001,7.537400400000001,3816.5085264000004,18.947054400000003
201390,기타영업외수익,26.635810000000003,12.178296100000003,8.8998339,3903.991254100001,40.034867500000004
204760,이자수익,NaN,NaN,NaN,NaN,NaN
